character,dialogue,next_line
VEERS,"yes, lord vader. i've reached the main power generator. the shield will be down in moments. you may start your landing. [EOL]",rouge
LUKE,rouge three. [EOL],"copy,"
WEDGE,"copy, rouge leader [EOL]","wedge,"
LUKE,"wedge, i've lost my gunner. you'll have to make this shot. i'll cover for you. set your harpoon. follow me on the next pass. [EOL]",coming
WEDGE,"coming around, rouge leader. [EOL]","steady,"
LUKE,"steady, rouge two [EOL]",activate
WEDGE,activate harpoon. [EOL],good
WEDGE,"good shot, janson. [EOL]",one
WEDGE,one more pass. [EOL],coming
JANSON,coming around. once more. [EOL],one
JANSON,one more. [EOL],cable
JANSON,cable out! let her go! [EOL],detach
WEDGE,detach cable. [EOL],cable
JANSON,cable detached. [EOL],come
TRENCH OFFICER,come on! [EOL],whooha!!
WEDGE,whooha!! that got him! [EOL],i
LUKE,"i see it, wedge. good work. [EOL]",i
RIEEKAN,i don't think we can protect two transports at a time. [EOL],it's
LEIA,"it's risky, but we can't hold out much longer. we have no choice. [EOL]",launch
RIEEKAN,launch patrols. [EOL],evacuate
LEIA,evacuate remaining ground staff. [EOL],"no,"
HAN,"no, no! no! this one goes there, that one goes there. right? [EOL]","artoo,"
THREEPIO,"artoo, you take good care of master luke now, understand? and...do take care of yourself. oh, dear, oh, dear. [EOL]",all
VEERS,all troops will debark for ground assault. prepare to target the main generator. [EOL],rouge
LUKE,"rouge two, are you all right? [EOL]",yeah.
ZEV,"yeah. i'm with you, rouge leader. [EOL]",we'll
LUKE,we'll set harpoon. i'll cover for you. [EOL],coming
ZEV,coming around. [EOL],watch
LUKE,"watch that cross fire, boys. [EOL]",set
ZEV,set for position three. steady. [EOL],stay
LUKE,stay tight and low. [EOL],"hobbie,"
LUKE,"hobbie, i've been hit! [EOL]",you
HAN,you all right? [EOL],why
LEIA,why are you still here? [EOL],i
HAN,i heard the command center had been hit. [EOL],you
LEIA,you got your clearance to leave. [EOL],don't
HAN,don't worry. i'll leave. first i'm going to get you to your ship. [EOL],your
THREEPIO,"your highness, we must take this last transport. it's our only hope. [EOL]",send
LEIA,send all troops in sector twelve to the south slope to protect the fighters. [EOL],imperial
ANNOUNCER,imperial troops have entered the base. [EOL],come
HAN,come on...that's it. [EOL],give
LEIA,give the evacuation code signal. and get to your transports! [EOL],k-one-zero...all
HEAD CONTROLLER,k-one-zero...all troops disengage. [EOL],oh!
THREEPIO,oh! wait for me! [EOL],begin
OFFICER,begin retreat! [EOL],fall
SECOND OFFICER,fall back! [EOL],distance
VEERS,distance to power generators? [EOL],"one-seven,"
PILOT,"one-seven, decimal two-eight. [EOL]",target.
VEERS,target. maximum fire power. [EOL],"transport,"
HAN,"transport, this is solo. better take off -- i can't get to you. i'll get the princess out on the falcon. [EOL]",but...but...but...where
THREEPIO,but...but...but...where are you going? uh...come back!! [EOL],wait!
THREEPIO,wait! wait for me! wait! stop! [EOL],how
THREEPIO,how typical. [EOL],come
HAN,come on. [EOL],hurry
HAN,"hurry up, goldenrod, or you're going to be a permanent resident! [EOL]",wait!
THREEPIO,wait! wait! [EOL],how's
HAN,how's this? [EOL],would
LEIA,would it helped if i got out and pushed? [EOL],it
HAN,it might. [EOL],captain
THREEPIO,"captain solo, captain solo...sir, might i suggest that you... [EOL]",it
THREEPIO,it can wait. [EOL],the
LEIA,the bucket of bolts is never going to get us past that blockade. [EOL],this
HAN,"this baby's got a few surprises left in her, sweetheart. [EOL]",come
HAN,come on! come on! switch over. let's hope we don't have a burnout. [EOL],see?
HAN,see? [EOL],someday
LEIA,"someday you're going to be wrong, and i hope i'm there to see it. [EOL]",punch
HAN,punch it! [EOL],artoo!
LUKE,artoo! get her ready for takeoff. [EOL],good
WEDGE,"good luck, luke. see you at the rendezvous. [EOL]",don't
LUKE,"don't worry, artoo. we're going, we're going. [EOL]",there's
LUKE,"there's nothing wrong, artoo. i'm just setting a new course. [EOL]",we're
LUKE,we're not going to regroup with the others. [EOL],we're
LUKE,we're going to the dagobah system. [EOL],"yes,"
LUKE,"yes, artoo? [EOL]",that's
LUKE,that's all right. i'd like to keep it on manual control for a while. [EOL],i
HAN,i saw them! i saw them! [EOL],saw
LEIA,saw what? [EOL],star
HAN,"star destroyers, two of them, coming right at us. [EOL]","sir,"
THREEPIO,"sir, sir! might i suggest... [EOL]",shut
HAN,shut him up or shut him down! check the deflector shield! [EOL],"oh,"
HAN,"oh, great. well, we can still outmaneuver them. [EOL]",take
IMPERIAL OFFICER,take evasive action! [EOL],prepare
HAN,prepare to make the jump to light-speed. [EOL],"but,"
THREEPIO,"but, sir! [EOL]",they're
LEIA,they're getting closer! [EOL],oh
HAN,oh yeah? watch this. [EOL],watch
LEIA,watch what? [EOL],i
HAN,i think we're in trouble. [EOL],if
THREEPIO,"if i may say so, sir, i noticed earlier the hyperdrive motivator has been damaged. it's impossible to go to light-speed! [EOL]",we're
HAN,we're in trouble! [EOL],horizontal
HAN,horizontal boosters...! [EOL],alluvial
HAN,alluvial dampers...! well that's not it. [EOL],bring
HAN,bring me the hydrospanners! [EOL],i
HAN,i don't know how we're going to get out of this one. [EOL],oww!
HAN,oww! chewie! [EOL],that
HAN,that was no laser blast! something hit us. [EOL],"han,"
LEIA,"han, get up here! [EOL]",come
HAN,"come on, chewie! [EOL]",asteroids!
LEIA,asteroids! [EOL],"oh,"
HAN,"oh, no! chewie, set two-seven-one. [EOL]",what
LEIA,what are you doing? you're not actually going into an asteroid field? [EOL],they'd
HAN,"they'd be crazy to follow us, wouldn't they? [EOL]",you
LEIA,you don't have to do this to impress me. [EOL],"sir,"
THREEPIO,"sir, the possibility of successfully navigating an asteroid field is approximately three thousand, seven hundred and twenty to one. [EOL]",never
HAN,never tell me the odds! [EOL],you
HAN,"you said you wanted to be around when i made a mistake; well, this could be it, sweetheart. [EOL]",i
LEIA,i take it back. we're going to get pulverized if we stay out here much longer. [EOL],i'm
HAN,i'm not going to argue with that. [EOL],pulverized?
THREEPIO,pulverized? [EOL],i'm
HAN,i'm going in closer to one of the big ones. [EOL],closer?
LEIA,closer? [EOL],closer?!
THREEPIO,closer?! [EOL],"oh,"
THREEPIO,"oh, this is suicide! [EOL]",there.
HAN,there. that looks pretty good. [EOL],what
LEIA,what looks pretty good? [EOL],yeah.
HAN,yeah. that'll do nicely. [EOL],excuse
THREEPIO,"excuse me, ma'am, but where are we going? [EOL]",i
LEIA,i hope you know what you're doing. [EOL],"yeah,"
HAN,"yeah, me too. [EOL]","yes,"
LUKE,"yes, that's it. dagobah. [EOL]","no,"
LUKE,"no, i'm not going to change my mind about this. i'm not picking up any cities or technology. massive life-form readings, though. there's something alive down there... [EOL]","yes,"
LUKE,"yes, i'm sure it's perfectly safe for droids. [EOL]",i
LUKE,"i know, i know! all the scopes are dead. i can't see a thing! just hang on, i'm going to start the landing cycle... [EOL]","no,"
LUKE,"no, artoo, you stay put. i'll have a look around. [EOL]",artoo?
LUKE,artoo? [EOL],artoo!
LUKE,artoo! where are you? [EOL],artoo!
LUKE,artoo! you be more careful. [EOL],artoo
LUKE,artoo -- that way! [EOL],artoo!
LUKE,artoo! [EOL],"oh,"
LUKE,"oh, no! are you all right? come on. you're lucky you don't taste very good. anything broken? [EOL]",if
LUKE,"if you're saying coming here was a bad idea, i'm beginning to agree with you. oh, artoo, what are we doing here? it's like... something out of a dream, or, i don't know. maybe i'm just going crazy. [EOL]","yes,"
VADER,"yes, admiral? [EOL]",our
PIETT,"our ships have sighted the millennium falcon, lord. but...it has entered an asteroid field and we cannot risk... [EOL]",asteroids
VADER,"asteroids do not concern me, admiral. i want that ship and not excuses. [EOL]","yes,"
PIETT,"yes, lord. [EOL]",i'm
HAN,i'm going to shut down everything but the emergency power systems. [EOL],"sir,"
THREEPIO,"sir, i'm almost afraid to ask, but...does that include shutting me down, too? [EOL]","no,"
HAN,"no, i need you to talk to the falcon, find out what's wrong with the hyperdrive. [EOL]","sir,"
THREEPIO,"sir, it's quite possible this asteroid is not entirely stable. [EOL]",not
HAN,"not entirely stable? i'm glad you're here to tell us these things. chewie, take the professor in the back and plug him into the hyperdrive. [EOL]",oh!
THREEPIO,"oh! sometimes i just don't understand human behavior. after all, i'm only trying to do my job in the most... [EOL]",let
LEIA,let go. [EOL],sshh!
HAN,sshh! [EOL],let
LEIA,"let go, please. [EOL]",don't
HAN,don't get excited. [EOL],"captain,"
LEIA,"captain, being held by you isn't quite enough to get me excited. [EOL]","sorry,"
HAN,"sorry, sweetheart. we haven't got time for anything else. [EOL]",ready
LUKE,ready for some power? okay. let's see now. put that in there. there you go. [EOL],now
LUKE,now all i have to do is find this yoda...if he even exists. [EOL],still...there's
LUKE,still...there's something familiar about this place. i feel like...i don't know... [EOL],feel
STRANGE VOICE,feel like what? [EOL],like
LUKE,like we're being watched! [EOL],away
CREATURE,away with your weapon! i mean you no harm. [EOL],i
CREATURE,"i am wondering, why are you here? [EOL]",i'm
LUKE,i'm looking for someone. [EOL],looking?
CREATURE,"looking? found someone, you have, i would say, hmmm? [EOL]",right.
LUKE,right. [EOL],help
CREATURE,"help you i can. yes, mmmm. [EOL]",i
LUKE,i don't think so. i'm looking for a great warrior. [EOL],ahhh!
CREATURE,ahhh! a great warrior. wars not make one great. [EOL],put
LUKE,put that down. hey! that's my dinner. [EOL],how
CREATURE,"how you get so big, eating food of this kind? [EOL]","listen,"
LUKE,"listen, friend, we didn't mean to land in that puddle, and if we could get our ship out, we would, but we can't, so why don't you just... [EOL]","aww,"
CREATURE,"aww, cannot get your ship out? [EOL]","hey,"
LUKE,"hey, you could have broken this. don't do that. ohhh...you're making a mess. hey, give me that! [EOL]",mine!
CREATURE,mine! or i will help you not. [EOL],i
LUKE,i don't want your help. i want my lamp back. i'll need it to get out of this slimy mudhole. [EOL],mudhole?
CREATURE,mudhole? slimy? my home this is. [EOL],"ah,"
CREATURE,"ah, ah, ah! [EOL]","oh,"
LUKE,"oh, artoo, let him have it. [EOL]",mine!
CREATURE,mine! mine! [EOL],mine!
CREATURE,mine! [EOL],now
LUKE,"now will you move along, little fella? we're got a lot of work to do. [EOL]",no!
CREATURE,"no! no, no! stay and help you, i will. find your friend, hmm? [EOL]",i'm
LUKE,"i'm not looking for a friend, i'm looking for a jedi master. [EOL]",oohhh.
CREATURE,oohhh. jedi master. yoda. you seek yoda. [EOL],you
LUKE,you know him? [EOL],mmm.
CREATURE,"mmm. take you to him, i will. yes, yes. but now, we must eat. come. good food. come. [EOL]","come,"
CREATURE,"come, come. [EOL]",stay
LUKE,"stay here and watch after the camp, artoo. [EOL]","oh,"
THREEPIO,"oh, where is artoo when i need him? [EOL]","sir,"
THREEPIO,"sir, i don't know where your ship learned to communicate, but it has the most peculiar dialect. i believe, sir, it says that the power coupling on the negative axis has been polarized. i'm afraid you'll have to replace it. [EOL]","well,"
HAN,"well, of course i'll have to replace it. [EOL]",here!
HAN,here! and chewie... [EOL],...i
HAN,...i think we'd better replace the negative power coupling. [EOL],"hey,"
HAN,"hey, your worship, i'm only trying to help. [EOL]",would
LEIA,would you please stop calling me that? [EOL],"sure,"
HAN,"sure, leia. [EOL]","oh,"
LEIA,"oh, you make it so difficult sometimes. [EOL]",i
HAN,"i do, i really do. you could be a little nicer, though. come on, admit it. sometimes you think i'm all right. [EOL]",occasionally
LEIA,occasionally maybe...when you aren't acting like a scoundrel. [EOL],scoundrel?
HAN,scoundrel? scoundrel? i like the sound of that. [EOL],stop
LEIA,stop that. [EOL],stop
HAN,stop what? [EOL],stop
LEIA,stop that! my hands are dirty. [EOL],my
HAN,"my hands are dirty, too. what are you afraid of? [EOL]",afraid?
LEIA,afraid? [EOL],you're
HAN,you're trembling. [EOL],i'm
LEIA,i'm not trembling. [EOL],you
HAN,you like me because i'm a scoundrel. there aren't enough scoundrels in your life. [EOL],i
LEIA,i happen to like nice men. [EOL],i'm
HAN,i'm a nice man. [EOL],"no,"
LEIA,"no, you're not. you're... [EOL]","sir,"
THREEPIO,"sir, sir! i've isolated the reverse power flux coupling. [EOL]",thank
HAN,thank you. thank you very much. [EOL],"oh,"
THREEPIO,"oh, you're perfectly welcome, sir. [EOL]",...and
NEEDA,"...and that, lord vader, was the last time they appeared in any of our scopes. considering the amount of damage we've sustained, they must have been destroyed. [EOL]","no,"
VADER,"no, captain, they're alive. i want every ship available to sweep the asteroid field until they are found. [EOL]",lord
PIETT,lord vader. [EOL],"yes,"
VADER,"yes, admiral, what is it? [EOL]",the
PIETT,the emperor commands you make contact with him. [EOL],move
VADER,move the ship out of the asteroid field so that we can send a clear transmission. [EOL],what
VADER,"what is thy bidding, my master? [EOL]",there
EMPEROR,there is a great disturbance in the force. [EOL],i
VADER,i have felt it. [EOL],we
EMPEROR,we have a new enemy -- luke skywalker. [EOL],"yes,"
VADER,"yes, my master. [EOL]",he
EMPEROR,he could destroy us. [EOL],he's
VADER,he's just a boy. obi-wan can no longer help him. [EOL],the
EMPEROR,the force is strong with him. the son of skywalker must not become a jedi. [EOL],if
VADER,"if he could be turned, he would become a powerful ally. [EOL]",yes.
EMPEROR,yes. yes. he would be a great asset. can it be done? [EOL],he
VADER,"he will join us or die, my master. [EOL]","look,"
LUKE,"look, i'm sure it's delicious. i just don't understand why we can't see yoda now. [EOL]",patience!
CREATURE,"patience! for the jedi it is time to eat as well. eat, eat. hot. good food, hm? good, hmm? [EOL]",how
LUKE,how far away is yoda? will it take us long to get there? [EOL],not
CREATURE,"not far. yoda not far. patience. soon you will be with him. rootleaf, i cook. why wish you become jedi? hm? [EOL]",mostly
LUKE,"mostly because of my father, i guess. [EOL]","ah,"
CREATURE,"ah, your father. powerful jedi was he, powerful jedi, mmm. [EOL]","oh,"
LUKE,"oh, come on. how could you know my father? you don't even know who i am. oh, i don't even know what i'm doing here. we're wasting our time. [EOL]",i
CREATURE,i cannot teach him. the boy has no patience. [EOL],he
BEN,he will learn patience. [EOL],hmmm.
YODA,"hmmm. much anger in him, like his father. [EOL]",was
BEN,was i any different when you taught me? [EOL],hah.
YODA,hah. he is not ready. [EOL],yoda!
LUKE,"yoda! i am ready. i...ben! i can be a jedi. ben, tell him i'm ready. [EOL]","ready,"
YODA,"ready, are you? what know you of ready? for eight hundred years have i trained jedi. my own counsel will i keep on who is to be trained! a jedi must have the deepest commitment, the most serious mind. this one a long time have i watched. never his mind on where he was. hmm? what he was doing. hmph. adventure. heh! excitement. heh! a jedi craves not these things. you are reckless! [EOL]",so
BEN,"so was i, if you'll remember. [EOL]",he
YODA,"he is too old. yes, too old to begin the training. [EOL]",but
LUKE,but i've learned so much. [EOL],will
YODA,will he finished what he begins? [EOL],i
LUKE,i won't fail you -- i'm not afraid. [EOL],"oh,"
YODA,"oh, you will be. you will be. [EOL]","sir,"
THREEPIO,"sir, if i may venture an opinion... [EOL]",i'm
HAN,"i'm not really interested in your opinion, threepio. [EOL]",there's
LEIA,there's something out there. [EOL],where?
HAN,where? [EOL],"outside,"
LEIA,"outside, in the cave. [EOL]",there
THREEPIO,there it is. listen! listen! [EOL],i'm
HAN,i'm going out there. [EOL],are
LEIA,are you crazy?! [EOL],i
HAN,i just got this bucket back together. i'm not going to let something tear it apart. [EOL],then
LEIA,then i'm going with you. [EOL],i
THREEPIO,"i think it might be better if i stay here and guard the ship. oh, no. [EOL]",this
LEIA,this ground sure feels strange. it doesn't feel like rock at all. [EOL],there's
HAN,there's an awful lot of moisture in here. [EOL],i
LEIA,i don't know. i have a bad feeling about this. [EOL],watch
HAN,watch out! [EOL],"yeah,"
HAN,"yeah, that's what i thought. mynock. chewie, check the rest of the ship, make sure there aren't any more attached. they're chewing on the power cables. [EOL]",mynocks?
LEIA,mynocks? [EOL],go
HAN,go on inside. we'll clean them off if there are any more. [EOL],ohhh!
THREEPIO,ohhh! go away! go away! beastly thing. shoo! shoo! [EOL],wait
HAN,wait a minute... [EOL],all
HAN,"all right, chewie, let's get out of here! [EOL]",the
LEIA,the empire is still out there. i don't think it's wise to... [EOL],no
HAN,no time to discuss this as a committee. [EOL],i
LEIA,i am not a committee! [EOL],you
LEIA,you can't make the jump to light-speed in this asteroid field... [EOL],sit
HAN,"sit down, sweetheart. we're taking off! [EOL]",look!
THREEPIO,look! [EOL],i
HAN,"i see it, i see it. [EOL]",we're
THREEPIO,we're doomed! [EOL],the
LEIA,the cave is collapsing. [EOL],this
HAN,this is no cave. [EOL],what?
LEIA,what? [EOL],run!
YODA,"run! yes. a jedi's strength flows from the force. but beware of the dark side. anger...fear...aggression. the dark side of the force are they. easily they flow, quick to join you in a fight. if once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did obi-wan's apprentice. [EOL]",vader.
LUKE,vader. is the dark side stronger? [EOL],no...no...no.
YODA,"no...no...no. quicker, easier, more seductive. [EOL]",but
LUKE,but how am i to know the good side from the bad? [EOL],you
YODA,"you will know. when you are calm, at peace. passive. a jedi uses the force for knowledge and defense, never for attack. [EOL]",but
LUKE,but tell me why i can't... [EOL],"no,"
YODA,"no, no, there is no why. nothing more will i teach you today. clear your mind of questions. mmm. mmmmmm. [EOL]",there's
LUKE,there's something not right here. [EOL],i
LUKE,"i feel cold, death. [EOL]",that
YODA,that place...is strong with the dark side of the force. a domain of evil it is. in you must go. [EOL],what's
LUKE,what's in there? [EOL],only
YODA,only what you take with you. [EOL],your
YODA,your weapons...you will not need them. [EOL],bounty
PIETT,bounty hunters. we don't need that scum. [EOL],those
PIETT,those rebels won't escape us. [EOL],"sir,"
SECOND CONTROLLER,"sir, we have a priority signal from the star destroyer avenger. [EOL]",...there
VADER,"...there will be a substantial reward for the one who finds the millennium falcon. you are free to use any methods necessary, but i want them alive. no disintegrations. [EOL]",as
BOBA FETT,as you wish. [EOL],lord
PIETT,"lord vader! my lord, we have them. [EOL]","oh,"
THREEPIO,"oh, thank goodness we're coming out of the asteroid field. [EOL]",let's
HAN,let's get out of here. ready for light-speed? one...two...three! [EOL],it's
HAN,it's not fair! [EOL],the
HAN,the transfer circuits are working. it's not my fault! [EOL],no
LEIA,no light-speed? [EOL],it's
HAN,it's not my fault. [EOL],"sir,"
THREEPIO,"sir, we just lost the main rear deflector shield. one more direct hit on the back quarter and we're done for. [EOL]",turn
HAN,turn her around. [EOL],i
HAN,i said turn her around! i'm going to put all power in the front shield. [EOL],you're
LEIA,you're going to attack them?! [EOL],"sir,"
THREEPIO,"sir, the odds of surviving a direct assault on an imperial star destroyer... [EOL]",shut
LEIA,shut up! [EOL],they're
NEEDA,they're moving to attack position. shields up! [EOL],track
NEEDA,"track them,. they may come around for another pass. [EOL]",captain
TRACKING OFFICER,"captain needa, the ship no longer appears on our scopes. [EOL]",they
NEEDA,they can't have disappeared. no ship that small has a cloaking device. [EOL],"well,"
TRACKING OFFICER,"well, there's no trace of them, sir. [EOL]","captain,"
COMMUNICATIONS OFFICER,"captain, lord vader demands an update on the pursuit. [EOL]",get
NEEDA,"get a shuttle ready. i shall assume full responsibility for losing them, and apologize to lord vader. meanwhile, continue to scan the area. [EOL]","yes,"
COMMUNICATIONS OFFICER,"yes, captain needa. [EOL]",use
YODA,use the force. yes... [EOL],now...the
YODA,now...the stone. feel it. [EOL],concentrate!
YODA,concentrate! [EOL],"oh,"
LUKE,"oh, no. we'll never get it out now. [EOL]",so
YODA,so certain are you. always with you it cannot be done. hear you nothing that i say? [EOL],"master,"
LUKE,"master, moving stones around is one thing. this is totally different. [EOL]",no!
YODA,no! no different! only different in your mind. you must unlearn what you have learned. [EOL],all
LUKE,"all right, i'll give it a try. [EOL]",no!
YODA,no! try not. do. or do not. there is no try. [EOL],i
LUKE,i can't. it's too big. [EOL],size
YODA,"size matters not. look at me. judge me by my size, do you? hm? mmmm. [EOL]",and
YODA,"and well you should not. for my ally in the force. and a powerful ally it is. life creates it, makes it grow. it's energy surrounds us and binds us. luminous beings are we......not this crude matter. you must feel the force around you. here, between you...me...the tree...the rock...everywhere! yes, even between this land and that ship! [EOL]",you
LUKE,you want the impossible. [EOL],i
LUKE,i don't...i don't believe it. [EOL],that
YODA,that is why you fail. [EOL],apology
VADER,"apology accepted, captain needa. [EOL]",lord
PIETT,"lord vader, our ships have completed their scan of the area and found nothing. if the millennium falcon went into light-speed, it'll be on the other side of the galaxy by now. [EOL]",alert
VADER,alert all commands. calculate every possible destination along their last know trajectory. [EOL],"yes,"
PIETT,"yes, my lord. we'll find them. [EOL]",don't
VADER,"don't fail me again, admiral. [EOL]",alert
PIETT,alert all commands. deploy the fleet. [EOL],captain
THREEPIO,"captain solo, this time you have gone too far. no, i will not be quiet, chewbacca. why doesn't anyone listen to me? [EOL]",the
HAN,the fleet is beginning to break up. go back and stand by the manual release for the landing claw. [EOL],i
THREEPIO,i really don't see how thats going to help. surrender is a perfectly acceptable alternative in extreme circumstances. the empire may be gracious enough... [EOL],thank
HAN,thank you. [EOL],what
LEIA,what did you have in mind for your next move? [EOL],"well,"
HAN,"well, if they follow standard imperial procedure, they'll dump their garbage before they go to light-speed, then we just float away. [EOL]",with
LEIA,with the rest of the garbage. then what? [EOL],then
HAN,then we've got to find a safe port somewhere around here. got any ideas? [EOL],no.
LEIA,no. where are we? [EOL],the
HAN,the anoat system. [EOL],anoat
LEIA,anoat system. there's not much there. [EOL],no.
HAN,"no. well, wait. this is interesting. lando. [EOL]",lando
LEIA,lando system? [EOL],lando's
HAN,"lando's not a system, he's a man. lando calrissian. he's a card player, gambler, scoundrel. you'd like him. [EOL]",bespin.
HAN,"bespin. it's pretty far, but i think we can make it. [EOL]",a
LEIA,a mining colony? [EOL],"yeah,"
HAN,"yeah, a tibanna gas mine. lando conned somebody out of it. we go back a long way, lando and me. [EOL]",can
LEIA,can you trust him? [EOL],no.
HAN,"no. but he has no love for the empire, i can tell you that. [EOL]",here
HAN,"here we go, chewie. stand by. detach! [EOL]",you
LEIA,"you do have your moments. not many, but you have them. [EOL]",concentrate...feel
YODA,"concentrate...feel the force flow. yes. good. calm, yes. through the force, things you will see. other places. the future...the past. old friends long gone. [EOL]",han!
LUKE,han! leia! [EOL],hmm.
YODA,"hmm. control, control. you must learn control. [EOL]",i
LUKE,i saw...i saw a city in the clouds. [EOL],mmm.
YODA,mmm. friends you have there. [EOL],they
LUKE,they were in pain. [EOL],it
YODA,it is the future you see. [EOL],future?
LUKE,future? will they die? [EOL],difficult
YODA,difficult to see. always in motion is the future. [EOL],i've
LUKE,i've got to go to them. [EOL],decide
YODA,"decide you must how to serve them best. if you leave now, help them you could. but you would destroy all for which they have fought and suffered. [EOL]","no,"
HAN,"no, i don't have a landing permit. i'm trying to reach lando calrissian. [EOL]",whoa!
HAN,whoa! wait a minute! let me explain. [EOL],you
INTERCOM VOICE,you will not deviate from your present course. [EOL],rather
THREEPIO,"rather touchy, aren't they? [EOL]",i
LEIA,i thought you knew this person. [EOL],"well,"
HAN,"well, that was a long time ago. i'm sure he's forgotten about that. [EOL]",permission
INTERCOM VOICE,permission granted to land on platform three-two-seven. [EOL],there's
HAN,"there's nothing to worry about. we go way back, lando and me. [EOL]",who's
LEIA,who's worried? [EOL],oh.
THREEPIO,oh. no one to meet us. [EOL],i
LEIA,i don't like this. [EOL],"well,"
HAN,"well, what would you like? [EOL]","well,"
THREEPIO,"well, they did let us land. [EOL]","look,"
HAN,"look, don't worry. everything's going to be fine. trust me. [EOL]",see?
HAN,"see? my friend. keep your eyes open, okay? [EOL]","why,"
LANDO,"why, you slimy, double-crossing, no-good swindler! you've got a lot of guts coming here, after what you pulled. [EOL]",how
LANDO,"how you doing, you old pirate? so good to see you! i never thought i'd catch up with you again. where you been? [EOL]","well,"
THREEPIO,"well, he seems very friendly. [EOL]",yes...very
LEIA,yes...very friendly. [EOL],what
LANDO,what are you doing here? [EOL],ahh...repairs.
HAN,ahh...repairs. i thought you could help me out. [EOL],what
LANDO,what have you done to my ship? [EOL],your
HAN,"your ship? hey, remember, you lost her to me fair and square. [EOL]",hello.
LANDO,hello. what have we here? welcome. i'm lando calrissian. i'm the administrator of this facility. and who might you be? [EOL],leia.
LEIA,leia. [EOL],"welcome,"
LANDO,"welcome, leia. [EOL]",all
HAN,"all right, all right, you old smoothie. [EOL]","hello,"
THREEPIO,"hello, sir. i am see-threepio, human-cyborg relations. my facilities are at your... [EOL]","well,"
THREEPIO,"well, really! [EOL]",what's
LANDO,what's wrong with the falcon? [EOL],hyperdrive.
HAN,hyperdrive. [EOL],i'll
LANDO,i'll get my people to work on it. [EOL],good.
HAN,good. [EOL],you
LANDO,"you know, that ship saved my life quite a few times. she's the fastest hunk of junk in the galaxy. [EOL]",how's
HAN,how's the gas mine? is it paying off for you? [EOL],"oh,"
LANDO,"oh, not as well as i'd like. we're a small outpost and not very self-sufficient. and i've had supply problems of every kind. i've had labor difficulties... what's so funny? [EOL]",you.
HAN,"you. listen to you -- you sound like a businessman, a responsible leader. who'd have thought that, huh? [EOL]",you
LANDO,"you know, seeing you sure brings back a few things. [EOL]","yeah,"
LANDO,"yeah, i'm responsible these days. it's the price you pay for being successful. [EOL]",oh!
THREEPIO,oh! nice to see a familiar face. [EOL],e
SECOND THREEPIO,e chu ta! [EOL],how
THREEPIO,how rude! [EOL],that
THREEPIO,that sounds like an r2 unit in there. i wonder if... [EOL],hello?
THREEPIO,"hello? how interesting. oh, my. [EOL]",who
MAN,who are you? [EOL],"oh,"
THREEPIO,"oh, i'm terribly sorry. i...i didn't mean to intrude. no, no, please don't get up. no! [EOL]",luke!
YODA,luke! you must complete the training. [EOL],i
LUKE,i can't keep the vision out of my head. they're my friends. i've got to help them. [EOL],you
YODA,you must not go! [EOL],but
LUKE,but han and leia will die if i don't. [EOL],you
BEN,you don't know that. [EOL],even
BEN,even yoda cannot see their fate. [EOL],but
LUKE,but i can help them! i feel the force! [EOL],but
BEN,"but you cannot control it. this is a dangerous time for you, when you will be tempted by the dark side of the force. [EOL]","yes,"
YODA,"yes, yes. to obi-wan you listen. the cave. remember your failure at the cave! [EOL]",but
LUKE,"but i've learned so much since then. master yoda, i promise to return and finish what i've begun. you have my word. [EOL]",it
BEN,it is you and your abilities the emperor wants. that is why your friends are made to suffer. [EOL],and
LUKE,and that is why i have to go. [EOL],"luke,"
BEN,"luke, i don't want to lose you to the emperor the way i lost vader. [EOL]",you
LUKE,you won't. [EOL],stopped
YODA,"stopped they must be. on this depends. only a fully trained jedi knight with the force as his ally will conquer vader and his emperor. if you end your training now, if you choose the quick and easy path, as vader did, you will become an agent of evil. [EOL]",patience.
BEN,patience. [EOL],and
LUKE,and sacrifice han and leia? [EOL],if
YODA,if you honor what they fight for...yes! [EOL],if
BEN,"if you choose to face vader, you will do it alone. i cannot interfere. [EOL]",i
LUKE,"i understand. artoo, fire up the converters. [EOL]","luke,"
BEN,"luke, don't give in to hate -- that leads to the dark side. [EOL]",strong
YODA,strong is vader. mind what you have learned. save you it can. [EOL],i
LUKE,i will. and i'll return. i promise. [EOL],told
YODA,"told you, i did. reckless is he. now matters are worse. [EOL]",that
BEN,that boy is our last hope. [EOL],no.
YODA,no. there is another. [EOL],the
HAN,the ship is almost finished. two or three more things and we're in great shape. [EOL],the
LEIA,the sooner the better. something's wrong here. no one has seen or knows anything about threepio. he's been gone too long to have gotten lost. [EOL],relax.
HAN,relax. i'll talk to lando and see what i can find out. [EOL],i
LEIA,i don't trust lando. [EOL],"well,"
HAN,"well, i don't trust him, either. but he is my friend. besides, we'll soon be gone. [EOL]",and
LEIA,"and then you're as good as gone, aren't you? [EOL]",what
LEIA,what happened? [EOL],where?
HAN,where? found him in a junk pile? [EOL],"oh,"
LEIA,"oh, what a mess. chewie, do you think you can repair him? [EOL]",lando's
HAN,lando's got people who can fix him. [EOL],"no,"
LEIA,"no, thanks. [EOL]",i'm
LANDO,i'm sorry. am i interrupting anything? [EOL],not
LEIA,not really. [EOL],you
LANDO,you look absolutely beautiful. you truly belong here with us among the clouds. [EOL],will
